county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date
Santa Clara,3264,152,36,0,6/17/20
Santa Clara,3338,152,74,0,6/18/20
Santa Clara,3376,152,38,0,6/19/20
Santa Clara,3435,154,59,2,6/20/20
Santa Clara,3514,154,79,0,6/21/20
Santa Clara,3580,154,66,0,6/22/20
Santa Clara,3700,155,120,1,6/23/20
Santa Clara,3812,155,112,0,6/24/20
Santa Clara,3883,155,71,0,6/25/20
Santa Clara,3985,155,102,0,6/26/20
Santa Clara,4043,155,58,0,6/27/20
Santa Clara,4193,155,150,0,6/28/20
Santa Clara,4372,156,179,1,6/29/20
Santa Clara,4476,157,104,1,6/30/20
Santa Clara,4545,158,69,1,7/1/20
Santa Clara,4722,159,177,1,7/2/20
Santa Clara,4820,160,98,1,7/3/20
Santa Clara,5045,160,225,0,7/4/20
Santa Clara,5237,161,192,1,7/5/20
Santa Clara,5369,164,132,3,7/6/20
Santa Clara,5438,165,69,1,7/7/20
Santa Clara,5510,165,72,0,7/8/20
Santa Clara,5638,166,128,1,7/9/20
Santa Clara,5819,166,181,0,7/10/20
Santa Clara,5959,166,140,0,7/11/20
Santa Clara,6252,166,293,0,7/12/20
Santa Clara,6488,167,236,1,7/13/20
Santa Clara,6686,170,198,3,7/14/20
Santa Clara,6900,173,214,3,7/15/20
Santa Clara,6990,176,90,3,7/16/20
Santa Clara,7080,177,90,1,7/17/20
Santa Clara,7255,177,175,0,7/18/20
Santa Clara,7403,177,148,0,7/19/20
Santa Clara,7711,178,308,1,7/20/20
Santa Clara,7989,178,278,0,7/21/20
Santa Clara,8266,180,277,2,7/22/20
Santa Clara,8458,181,192,1,7/23/20
Santa Clara,8658,183,200,2,7/24/20
Santa Clara,8767,184,109,1,7/25/20
Santa Clara,8986,184,219,0,7/26/20
Santa Clara,9157,184,171,0,7/27/20
Santa Clara,9307,185,150,1,7/28/20
Santa Clara,9567,187,260,2,7/29/20
Santa Clara,9708,190,141,3,7/30/20
Santa Clara,9863,191,155,1,7/31/20
Santa Clara,10281,191,418,0,8/1/20
San Mateo,57,1,57,1,3/18/20
San Mateo,58,1,1,0,3/19/20
San Mateo,71,1,13,0,3/20/20
San Mateo,78,1,7,0,3/21/20
San Mateo,82,1,4,0,3/22/20
San Mateo,88,1,6,0,3/23/20
San Mateo,100,2,12,1,3/24/20
San Mateo,111,5,11,3,3/25/20
San Mateo,122,5,11,0,3/26/20
San Mateo,213,7,91,2,3/27/20
San Mateo,231,9,18,2,3/28/20
San Mateo,234,12,3,3,3/29/20
San Mateo,257,11,23,-1,3/30/20
San Mateo,297,12,40,1,3/31/20
San Mateo,354,13,57,1,4/1/20
San Mateo,423,13,69,0,4/2/20
San Mateo,474,13,51,0,4/3/20
San Mateo,520,17,46,4,4/4/20
San Mateo,528,19,8,2,4/5/20
San Mateo,569,20,41,1,4/6/20
San Mateo,573,22,4,2,4/7/20
San Mateo,608,22,35,0,4/8/20
San Mateo,630,23,22,1,4/9/20
San Mateo,642,21,12,-2,4/10/20
San Mateo,662,25,20,4,4/11/20
San Mateo,664,25,2,0,4/12/20
San Mateo,679,25,15,0,4/13/20
San Mateo,681,25,2,0,4/14/20
San Mateo,707,25,26,0,4/15/20
San Mateo,745,25,38,0,4/16/20
San Mateo,768,28,23,3,4/17/20
San Mateo,821,28,53,0,4/18/20
San Mateo,845,31,24,3,4/19/20
San Mateo,890,31,45,0,4/20/20
San Mateo,933,31,43,0,4/21/20
San Mateo,945,39,12,8,4/22/20
San Mateo,970,39,25,0,4/23/20
San Mateo,1004,43,34,4,4/24/20
San Mateo,1054,43,50,0,4/25/20
San Mateo,1070,46,16,3,4/26/20
San Mateo,1092,46,22,0,4/27/20
San Mateo,1129,48,37,2,4/28/20
San Mateo,1170,50,41,2,4/29/20
San Mateo,1194,52,24,2,4/30/20
San Mateo,1222,52,28,0,5/1/20
San Mateo,1272,52,50,0,5/2/20
San Mateo,1277,53,5,1,5/3/20
San Mateo,1313,53,36,0,5/4/20
San Mateo,1335,56,22,3,5/5/20
San Mateo,1348,56,13,0,5/6/20
San Mateo,1398,57,50,1,5/7/20
San Mateo,1423,62,25,5,5/8/20
San Mateo,1453,65,30,3,5/9/20
San Mateo,1463,65,10,0,5/10/20
San Mateo,1499,65,36,0,5/11/20
San Mateo,1533,66,34,1,5/12/20
San Mateo,1550,66,17,0,5/13/20
San Mateo,1588,66,38,0,5/14/20
San Mateo,1612,67,24,1,5/15/20
San Mateo,1652,68,40,1,5/16/20
San Mateo,1680,68,28,0,5/17/20
San Mateo,1701,68,21,0,5/18/20
San Mateo,1704,75,3,7,5/19/20
San Mateo,1739,75,35,0,5/20/20
San Mateo,1791,75,52,0,5/21/20
San Mateo,1847,76,56,1,5/22/20
San Mateo,1862,76,15,0,5/23/20
San Mateo,1925,76,63,0,5/24/20
San Mateo,1938,76,13,0,5/25/20
San Mateo,1967,82,29,6,5/26/20
San Mateo,2045,82,78,0,5/27/20
San Mateo,2070,82,25,0,5/28/20
San Mateo,2103,84,33,2,5/29/20
San Mateo,2129,84,26,0,5/30/20
San Mateo,2169,84,40,0,5/31/20
San Mateo,2190,84,21,0,6/1/20
San Mateo,2203,84,13,0,6/2/20
San Mateo,2243,84,40,0,6/3/20
San Mateo,2284,84,41,0,6/4/20
San Mateo,2331,88,47,4,6/5/20
San Mateo,2342,88,11,0,6/6/20
San Mateo,2399,88,57,0,6/7/20
San Mateo,2431,88,32,0,6/8/20
San Mateo,2463,93,32,5,6/9/20
San Mateo,2492,93,29,0,6/10/20
San Mateo,2499,93,7,0,6/11/20
San Mateo,2533,99,34,6,6/12/20
San Mateo,2551,99,18,0,6/13/20
San Mateo,2571,99,20,0,6/14/20
San Mateo,2591,99,20,0,6/15/20
San Mateo,2618,99,27,0,6/16/20
San Mateo,2649,99,31,0,6/17/20
San Mateo,2674,99,25,0,6/18/20
San Mateo,2713,103,39,4,6/19/20
San Mateo,2755,103,42,0,6/20/20
San Mateo,2781,103,26,0,6/21/20
San Mateo,2813,103,32,0,6/22/20
San Mateo,2907,103,94,0,6/23/20
San Mateo,2964,104,57,1,6/24/20
San Mateo,3000,104,36,0,6/25/20
San Mateo,3063,106,63,2,6/26/20
San Mateo,3096,106,33,0,6/27/20
San Mateo,3162,106,66,0,6/28/20
San Mateo,3249,106,87,0,6/29/20
San Mateo,3306,108,57,2,6/30/20
San Mateo,3326,108,20,0,7/1/20
San Mateo,3390,108,64,0,7/2/20
San Mateo,3439,108,49,0,7/3/20
San Mateo,3532,108,93,0,7/4/20
San Mateo,3575,108,43,0,7/5/20
San Mateo,3650,108,75,0,7/6/20
San Mateo,3691,111,41,3,7/7/20
San Mateo,3733,111,42,0,7/8/20
San Mateo,3792,111,59,0,7/9/20
San Mateo,3844,112,52,1,7/10/20
San Mateo,3956,112,112,0,7/11/20
San Mateo,3988,112,32,0,7/12/20
San Mateo,4057,112,69,0,7/13/20
San Mateo,4173,114,116,2,7/14/20
San Mateo,4258,114,85,0,7/15/20
San Mateo,4336,114,78,0,7/16/20
San Mateo,4407,114,71,0,7/17/20
San Mateo,4488,114,81,0,7/18/20
San Mateo,4522,114,34,0,7/19/20
San Mateo,4609,114,87,0,7/20/20
San Mateo,4733,114,124,0,7/21/20
San Mateo,4796,114,63,0,7/22/20
San Mateo,4895,114,99,0,7/23/20
San Mateo,4954,117,59,3,7/24/20
San Mateo,5023,117,69,0,7/25/20
San Mateo,5078,117,55,0,7/26/20
San Mateo,5108,117,30,0,7/27/20
San Mateo,5171,118,63,1,7/28/20
San Mateo,5305,118,134,0,7/29/20
San Mateo,5369,118,64,0,7/30/20
San Mateo,5416,119,47,1,7/31/20
San Mateo,5520,119,104,0,8/1/20
Santa Barbara,2,0,2,0,3/18/20
Santa Barbara,5,0,3,0,3/19/20
Santa Barbara,7,0,2,0,3/20/20
Santa Barbara,8,0,1,0,3/21/20
Santa Barbara,16,0,8,0,3/22/20
Santa Barbara,18,0,2,0,3/23/20
Santa Barbara,20,0,2,0,3/24/20
Santa Barbara,25,0,5,0,3/25/20
Santa Barbara,33,0,8,0,3/26/20
Santa Barbara,37,0,4,0,3/27/20
Santa Barbara,49,0,12,0,3/28/20
Santa Barbara,52,0,3,0,3/29/20
Santa Barbara,79,0,27,0,3/30/20
Santa Barbara,89,0,10,0,3/31/20
Santa Barbara,103,0,14,0,4/1/20
Santa Barbara,125,1,22,1,4/2/20
Santa Barbara,154,1,29,0,4/3/20
Santa Barbara,167,1,13,0,4/4/20
Santa Barbara,171,1,4,0,4/5/20
Santa Barbara,189,2,18,1,4/6/20
Santa Barbara,209,2,20,0,4/7/20
Santa Barbara,221,2,12,0,4/8/20
Santa Barbara,232,2,11,0,4/9/20
Santa Barbara,254,2,22,0,4/10/20
Santa Barbara,258,2,4,0,4/11/20
Santa Barbara,261,2,3,0,4/12/20
Santa Barbara,271,2,10,0,4/13/20
Santa Barbara,292,2,21,0,4/14/20
Santa Barbara,317,2,25,0,4/15/20
Santa Barbara,331,2,14,0,4/16/20
Santa Barbara,349,3,18,1,4/17/20
Santa Barbara,372,4,23,1,4/18/20
Santa Barbara,377,4,5,0,4/19/20
Santa Barbara,388,4,11,0,4/20/20
Santa Barbara,414,5,26,1,4/21/20
Santa Barbara,437,5,23,0,4/22/20
Santa Barbara,445,5,8,0,4/23/20
Santa Barbara,450,6,5,1,4/24/20
Santa Barbara,457,7,7,1,4/25/20
Santa Barbara,464,7,7,0,4/26/20
Santa Barbara,466,7,2,0,4/27/20
Santa Barbara,469,7,3,0,4/28/20
Santa Barbara,477,8,8,1,4/29/20
Santa Barbara,490,8,13,0,4/30/20
Santa Barbara,499,8,9,0,5/1/20
Santa Barbara,506,8,7,0,5/2/20
Santa Barbara,512,8,6,0,5/3/20
Santa Barbara,524,9,12,1,5/4/20
Santa Barbara,541,10,17,1,5/5/20
Santa Barbara,565,11,24,1,5/6/20
Santa Barbara,720,11,155,0,5/7/20
Santa Barbara,1054,11,334,0,5/8/20
Santa Barbara,1245,11,191,0,5/9/20
Santa Barbara,1323,11,78,0,5/10/20
Santa Barbara,1372,11,49,0,5/11/20
Santa Barbara,1377,11,5,0,5/12/20
Santa Barbara,1382,11,5,0,5/13/20
Santa Barbara,1395,11,13,0,5/14/20
Santa Barbara,1409,11,14,0,5/15/20
Santa Barbara,1422,11,13,0,5/16/20
Santa Barbara,1457,11,35,0,5/17/20
Santa Barbara,1501,11,44,0,5/18/20
Santa Barbara,1521,11,20,0,5/19/20
Santa Barbara,1524,11,3,0,5/20/20
Santa Barbara,1541,11,17,0,5/21/20
Santa Barbara,1554,12,13,1,5/22/20
Santa Barbara,1566,12,12,0,5/23/20
Santa Barbara,1573,12,7,0,5/24/20
Santa Barbara,1590,12,17,0,5/25/20
Santa Barbara,1590,12,0,0,5/26/20
Santa Barbara,1629,12,39,0,5/27/20
Santa Barbara,1642,12,13,0,5/28/20
Santa Barbara,1656,12,14,0,5/29/20
Santa Barbara,1660,12,4,0,5/30/20
Santa Barbara,1662,12,2,0,5/31/20
Santa Barbara,1671,12,9,0,6/1/20
Santa Barbara,1703,14,32,2,6/2/20
Santa Barbara,1722,14,19,0,6/3/20
Santa Barbara,1750,14,28,0,6/4/20
Santa Barbara,1795,15,45,1,6/5/20
Santa Barbara,1815,15,20,0,6/6/20
Santa Barbara,1818,15,3,0,6/7/20
Santa Barbara,1824,15,6,0,6/8/20
Santa Barbara,1854,15,30,0,6/9/20
Santa Barbara,1878,16,24,1,6/10/20
Santa Barbara,1895,16,17,0,6/11/20
Santa Barbara,1969,16,74,0,6/12/20
Santa Barbara,1999,18,30,2,6/13/20
Santa Barbara,2049,18,50,0,6/14/20
Santa Barbara,2054,18,5,0,6/15/20
Santa Barbara,2090,21,36,3,6/16/20
Santa Barbara,2147,22,57,1,6/17/20
Santa Barbara,2201,22,54,0,6/18/20
Santa Barbara,2284,22,83,0,6/19/20
Santa Barbara,2358,22,74,0,6/20/20
Santa Barbara,2430,22,72,0,6/21/20
Santa Barbara,2447,27,17,5,6/22/20
Santa Barbara,2498,27,51,0,6/23/20
Santa Barbara,2569,27,71,0,6/24/20
Santa Barbara,2633,28,64,1,6/25/20
Santa Barbara,2802,28,169,0,6/26/20
Santa Barbara,2857,28,55,0,6/27/20
Santa Barbara,2945,28,88,0,6/28/20
Santa Barbara,3092,29,147,1,6/29/20
Santa Barbara,3210,29,118,0,6/30/20
Santa Barbara,3286,29,76,0,7/1/20
Santa Barbara,3385,29,99,0,7/2/20
Santa Barbara,3406,29,21,0,7/3/20
Santa Barbara,3520,29,114,0,7/4/20
Santa Barbara,3671,29,151,0,7/5/20
Santa Barbara,3763,29,92,0,7/6/20
Santa Barbara,3866,30,103,1,7/7/20
Santa Barbara,3985,29,119,-1,7/8/20
Santa Barbara,4068,29,83,0,7/9/20
Santa Barbara,4177,31,109,2,7/10/20
Santa Barbara,4283,31,106,0,7/11/20
Santa Barbara,4353,31,70,0,7/12/20
Santa Barbara,4441,31,88,0,7/13/20
Santa Barbara,4641,31,200,0,7/14/20
Santa Barbara,4733,31,92,0,7/15/20
Santa Barbara,4872,32,139,1,7/16/20
Santa Barbara,5001,32,129,0,7/17/20
Santa Barbara,5110,32,109,0,7/18/20
Santa Barbara,5145,32,35,0,7/19/20
Santa Barbara,5266,32,121,0,7/20/20
Santa Barbara,5422,32,156,0,7/21/20
Santa Barbara,5508,32,86,0,7/22/20
Santa Barbara,5628,32,120,0,7/23/20
Santa Barbara,5776,32,148,0,7/24/20
Santa Barbara,5880,32,104,0,7/25/20
Santa Barbara,5939,32,59,0,7/26/20
Santa Barbara,6026,32,87,0,7/27/20
Santa Barbara,6110,32,84,0,7/28/20
Santa Barbara,6215,32,105,0,7/29/20
Santa Barbara,6273,32,58,0,7/30/20
Santa Barbara,6375,60,102,28,7/31/20
Santa Barbara,6465,60,90,0,8/1/20
Tuolumne,0,0,0,0,3/18/20
Tuolumne,0,0,0,0,3/19/20
Tuolumne,0,0,0,0,3/20/20
Tuolumne,0,0,0,0,3/21/20
Tuolumne,0,0,0,0,3/22/20
Tuolumne,0,0,0,0,3/23/20
Tuolumne,0,0,0,0,3/24/20
Tuolumne,0,0,0,0,3/25/20
Tuolumne,0,0,0,0,3/26/20
Tuolumne,1,0,1,0,3/27/20
Tuolumne,1,0,0,0,3/28/20
Tuolumne,1,0,0,0,3/29/20
Tuolumne,1,0,0,0,3/30/20
Tuolumne,1,0,0,0,3/31/20
Tuolumne,1,0,0,0,4/1/20
Tuolumne,1,0,0,0,4/2/20
Tuolumne,1,0,0,0,4/3/20
Tuolumne,1,0,0,0,4/4/20
Tuolumne,1,0,0,0,4/5/20
Tuolumne,1,0,0,0,4/6/20
Tuolumne,1,0,0,0,4/7/20
Tuolumne,0,0,-1,0,4/8/20
Tuolumne,0,0,0,0,4/9/20
Tuolumne,0,0,0,0,4/10/20
Tuolumne,0,0,0,0,4/11/20
Tuolumne,0,0,0,0,4/12/20
Tuolumne,0,0,0,0,4/13/20
Tuolumne,0,0,0,0,4/14/20
Tuolumne,1,0,1,0,4/15/20
Tuolumne,1,0,0,0,4/16/20
Tuolumne,2,0,1,0,4/17/20
Tuolumne,2,0,0,0,4/18/20
Tuolumne,2,0,0,0,4/19/20
Tuolumne,2,0,0,0,4/20/20
Tuolumne,2,0,0,0,4/21/20
Tuolumne,2,0,0,0,4/22/20
Tuolumne,2,0,0,0,4/23/20
Tuolumne,2,0,0,0,4/24/20
Tuolumne,2,0,0,0,4/25/20
Tuolumne,3,0,1,0,4/26/20
Tuolumne,3,0,0,0,4/27/20
Tuolumne,4,0,1,0,4/28/20
Tuolumne,4,0,0,0,4/29/20
Tuolumne,3,0,-1,0,4/30/20
Tuolumne,3,0,0,0,5/1/20
Tuolumne,3,0,0,0,5/2/20
Tuolumne,3,0,0,0,5/3/20
Tuolumne,3,0,0,0,5/4/20
Tuolumne,2,0,-1,0,5/5/20
Tuolumne,2,0,0,0,5/6/20
Tuolumne,2,0,0,0,5/7/20
Tuolumne,2,0,0,0,5/8/20
Tuolumne,2,0,0,0,5/9/20
Tuolumne,2,0,0,0,5/10/20
Tuolumne,2,0,0,0,5/11/20
Tuolumne,2,0,0,0,5/12/20
Tuolumne,2,0,0,0,5/13/20
Tuolumne,2,0,0,0,5/14/20
Tuolumne,2,0,0,0,5/15/20
Tuolumne,2,0,0,0,5/16/20
Tuolumne,2,0,0,0,5/17/20
Tuolumne,2,0,0,0,5/18/20
Tuolumne,2,0,0,0,5/19/20
Tuolumne,2,0,0,0,5/20/20
Tuolumne,2,0,0,0,5/21/20
Tuolumne,2,0,0,0,5/22/20
Tuolumne,2,0,0,0,5/23/20
Tuolumne,2,0,0,0,5/24/20
Tuolumne,2,0,0,0,5/25/20
Tuolumne,2,0,0,0,5/26/20
Tuolumne,4,0,2,0,5/27/20
Tuolumne,4,0,0,0,5/28/20
Tuolumne,4,0,0,0,5/29/20
Tuolumne,4,0,0,0,5/30/20
Tuolumne,4,0,0,0,5/31/20
Tuolumne,4,0,0,0,6/1/20
Tuolumne,4,0,0,0,6/2/20
Tuolumne,4,0,0,0,6/3/20
Tuolumne,4,0,0,0,6/4/20
Tuolumne,4,0,0,0,6/5/20
Tuolumne,4,0,0,0,6/6/20
Tuolumne,4,0,0,0,6/7/20
Tuolumne,8,0,4,0,6/8/20
Tuolumne,8,0,0,0,6/9/20
Tuolumne,7,0,-1,0,6/10/20
Tuolumne,7,0,0,0,6/11/20
Tuolumne,7,0,0,0,6/12/20
Tuolumne,7,0,0,0,6/13/20
Tuolumne,7,0,0,0,6/14/20
Tuolumne,7,0,0,0,6/15/20
Tuolumne,7,0,0,0,6/16/20
Tuolumne,7,0,0,0,6/17/20
Tuolumne,8,0,1,0,6/18/20
Tuolumne,8,0,0,0,6/19/20
Tuolumne,8,0,0,0,6/20/20
Tuolumne,8,0,0,0,6/21/20
Tuolumne,8,0,0,0,6/22/20
Tuolumne,9,0,1,0,6/23/20
Tuolumne,9,0,0,0,6/24/20
Tuolumne,10,0,1,0,6/25/20
Tuolumne,10,0,0,0,6/26/20
Tuolumne,13,0,3,0,6/27/20
Tuolumne,14,0,1,0,6/28/20
Tuolumne,16,0,2,0,6/29/20
Tuolumne,16,0,0,0,6/30/20
Tuolumne,22,0,6,0,7/1/20
Tuolumne,23,0,1,0,7/2/20
Tuolumne,27,0,4,0,7/3/20
Tuolumne,30,0,3,0,7/4/20
Tuolumne,30,0,0,0,7/5/20
Tuolumne,30,0,0,0,7/6/20
Tuolumne,40,0,10,0,7/7/20
Tuolumne,42,0,2,0,7/8/20
Tuolumne,47,0,5,0,7/9/20
Tuolumne,49,0,2,0,7/10/20
Tuolumne,50,0,1,0,7/11/20
Tuolumne,52,0,2,0,7/12/20
Tuolumne,56,0,4,0,7/13/20
Tuolumne,68,0,12,0,7/14/20
Tuolumne,68,0,0,0,7/15/20
Tuolumne,71,0,3,0,7/16/20
Tuolumne,73,0,2,0,7/17/20
Tuolumne,75,0,2,0,7/18/20
Tuolumne,75,0,0,0,7/19/20
Tuolumne,75,0,0,0,7/20/20
Tuolumne,75,0,0,0,7/21/20
Tuolumne,91,0,16,0,7/22/20
Tuolumne,93,0,2,0,7/23/20
Tuolumne,99,0,6,0,7/24/20
Tuolumne,99,0,0,0,7/25/20
Tuolumne,113,0,14,0,7/26/20
Tuolumne,115,2,2,2,7/27/20
Tuolumne,116,2,1,0,7/28/20
Tuolumne,118,2,2,0,7/29/20
Tuolumne,119,2,1,0,7/30/20
Tuolumne,120,2,1,0,7/31/20
Tuolumne,123,2,3,0,8/1/20
Sierra,0,0,0,0,3/18/20
Sierra,0,0,0,0,3/19/20
Sierra,0,0,0,0,3/20/20
Sierra,0,0,0,0,3/21/20
Sierra,0,0,0,0,3/22/20
Sierra,0,0,0,0,3/23/20
Sierra,0,0,0,0,3/24/20
Sierra,0,0,0,0,3/25/20
Sierra,0,0,0,0,3/26/20
Sierra,0,0,0,0,3/27/20
Sierra,0,0,0,0,3/28/20
Sierra,,,0,0,3/29/20
Sierra,0,0,0,0,3/31/20
Sierra,0,0,0,0,4/1/20
Sierra,0,0,0,0,4/2/20
Sierra,0,0,0,0,4/3/20
Sierra,0,0,0,0,4/4/20
Sierra,0,0,0,0,4/5/20
Sierra,0,0,0,0,4/6/20
Sierra,0,0,0,0,4/7/20
Sierra,0,0,0,0,4/8/20
Sierra,0,0,0,0,4/9/20
Sierra,0,0,0,0,4/10/20
Sierra,0,0,0,0,4/11/20
Sierra,0,0,0,0,4/12/20
Sierra,0,0,0,0,4/13/20
Sierra,0,0,0,0,4/14/20
Sierra,0,0,0,0,4/15/20
Sierra,0,0,0,0,4/16/20
Sierra,0,0,0,0,4/17/20
Sierra,0,0,0,0,4/18/20
Sierra,0,0,0,0,4/19/20
Sierra,0,0,0,0,4/20/20
Sierra,0,0,0,0,4/21/20
Sierra,0,0,0,0,4/22/20
Sierra,0,0,0,0,4/23/20
Sierra,0,0,0,0,4/24/20
Sierra,0,0,0,0,4/25/20
Sierra,0,0,0,0,4/26/20
Sierra,0,0,0,0,4/27/20
Sierra,0,0,0,0,4/28/20
Sierra,0,0,0,0,4/29/20
Sierra,0,0,0,0,4/30/20
Sierra,0,0,0,0,5/1/20
Sierra,0,0,0,0,5/2/20
Sierra,0,0,0,0,5/3/20
Sierra,0,0,0,0,5/4/20
Sierra,0,0,0,0,5/5/20
Sierra,0,0,0,0,5/6/20
Sierra,0,0,0,0,5/7/20
Sierra,0,0,0,0,5/8/20
Sierra,0,0,0,0,5/9/20
Sierra,0,0,0,0,5/10/20
Sierra,0,0,0,0,5/11/20
Sierra,0,0,0,0,5/12/20
Sierra,0,0,0,0,5/13/20
Sierra,0,0,0,0,5/14/20
Sierra,0,0,0,0,5/15/20
Sierra,0,0,0,0,5/16/20
Sierra,0,0,0,0,5/17/20
Sierra,0,0,0,0,5/18/20
Sierra,0,0,0,0,5/19/20
Sierra,0,0,0,0,5/20/20
Sierra,0,0,0,0,5/21/20
Sierra,0,0,0,0,5/22/20
Sierra,1,0,1,0,5/23/20
Sierra,1,0,0,0,5/24/20
Sierra,1,0,0,0,5/25/20
Sierra,1,0,0,0,5/26/20
Sierra,1,0,0,0,5/27/20
Sierra,1,0,0,0,5/28/20
Sierra,1,0,0,0,5/29/20
Sierra,1,0,0,0,5/30/20
Sierra,1,0,0,0,5/31/20
Sierra,1,0,0,0,6/1/20
Sierra,1,0,0,0,6/2/20
Sierra,1,0,0,0,6/3/20
Sierra,1,0,0,0,6/4/20
Sierra,1,0,0,0,6/5/20
Sierra,1,0,0,0,6/6/20
Sierra,1,0,0,0,6/7/20
Sierra,1,0,0,0,6/8/20
Sierra,1,0,0,0,6/9/20
Sierra,1,0,0,0,6/10/20
Sierra,1,0,0,0,6/11/20
Sierra,1,0,0,0,6/12/20
Sierra,1,0,0,0,6/13/20
Sierra,1,0,0,0,6/14/20
Sierra,1,0,0,0,6/15/20
Sierra,1,0,0,0,6/16/20
Sierra,1,0,0,0,6/17/20
Sierra,1,0,0,0,6/18/20
Sierra,1,0,0,0,6/19/20
Sierra,1,0,0,0,6/20/20
Sierra,1,0,0,0,6/21/20
Sierra,1,0,0,0,6/22/20
Sierra,1,0,0,0,6/23/20
Sierra,1,0,0,0,6/24/20
Sierra,1,0,0,0,6/25/20
Sierra,1,0,0,0,6/26/20
Sierra,1,0,0,0,6/27/20
Sierra,1,0,0,0,6/28/20
Sierra,1,0,0,0,6/29/20
Sierra,1,0,0,0,6/30/20
Sierra,1,0,0,0,7/1/20
Sierra,1,0,0,0,7/2/20
Sierra,1,0,0,0,7/3/20
Sierra,1,0,0,0,7/4/20
Sierra,1,0,0,0,7/5/20
Sierra,1,0,0,0,7/6/20
